,Game,Score
0,0,-82.94010420552792
1,1,-130.52872536975974
2,2,-119.00223319624502
3,3,-323.6753350104656
4,4,-84.88880106895925
5,5,-119.24164057554393
6,6,-78.45926092045218
7,7,-205.15560000822256
8,8,-65.01570152774613
9,9,-407.12177829110624
10,10,-63.02275371241052
11,11,-63.440921347490885
12,12,-198.07467291771806
13,13,-287.61598084954835
14,14,-341.33988941764153
15,15,-112.22021247063917
16,16,-118.41234842606323
17,17,-36.52604811658074
18,18,-226.60122908742125
19,19,-215.05912027747235
20,20,-191.2220864752778
21,21,-41.20817756962755
22,22,-202.4901961857819
23,23,-132.40496325298528
24,24,-50.11665428400343
25,25,-176.81929258064872
26,26,-182.00971089565726
27,27,-149.4807354895065
28,28,-256.76962421947513
29,29,-185.3960209268095
30,30,-106.53677267906703
31,31,-337.38374185426864
32,32,-86.10946721512134
33,33,-164.58479625122013
34,34,-148.65169482620468
35,35,152.43351146719635
36,36,-177.6824716830528
37,37,-91.5437828122357
38,38,-47.46969807574229
39,39,-80.73035466876678
40,40,-151.73892279981737
41,41,-23.12417314798429
42,42,-142.442807545877
43,43,-174.6121829818316
44,44,-103.46449104001715
45,45,-145.63383465322966
46,46,-101.22688029997369
47,47,-16.192250765702997
48,48,-79.77564194375066
49,49,-69.68323070598419
50,50,-100.40145850710367
51,51,-104.39032439883124
52,52,-72.8915006697603
53,53,-102.26983929248914
54,54,-79.2364213275541
55,55,-79.34331774734677
56,56,-73.33409421237432
57,57,-61.17040985879681
58,58,-142.57611715528736
59,59,-65.07354210953888
60,60,-48.396202513380636
61,61,-50.48470752507481
62,62,-54.67811146359362
63,63,-3.103337516391191
64,64,-62.091132442197875
65,65,-11.339877957846962
66,66,-53.13259060311115
67,67,-67.82224815426596
68,68,-73.30462450115128
69,69,-51.850635735073105
70,70,-69.41398844683903
71,71,-23.634648930101374
72,72,-42.66715507264246
73,73,-63.30395608064117
74,74,-33.79685843457215
75,75,-9.218359719046914
76,76,-26.617529542177
77,77,-44.725992157262226
78,78,-68.36806865328127
79,79,-11.43777667075431
80,80,-52.09934860333053
81,81,-52.7766103079137
82,82,-15.849173674392496
83,83,-63.15108613577668
84,84,-53.653013906739005
85,85,0.699333017896212
86,86,-38.05396713453222
87,87,-53.17793771205043
88,88,-141.23974355278006
89,89,-47.30763239703548
90,90,-32.64940456460026
91,91,-11.027862196422507
92,92,-37.42368677444067
93,93,-35.02859131055532
94,94,-44.449428086525515
95,95,-30.046391859368484
96,96,-63.74127669413603
97,97,-64.86211006027361
98,98,-73.90888398262064
99,99,-35.973203059814665
100,100,-43.283274153795006
101,101,-23.357731195740513
102,102,-61.05282575427681
103,103,-29.98153417731391
104,104,-107.107968873553
105,105,-67.8966439078529
106,106,-26.988924535379986
107,107,-199.13757554616114
108,108,-33.52468746101891
109,109,-63.0136447088294
110,110,-10.740923469003967
111,111,-57.832294190303955
112,112,-11.174542584943843
113,113,-71.3679856306224
114,114,-46.17903903752494
115,115,-35.49394046523104
116,116,-26.8581939232832
117,117,-10.391306221295105
118,118,-118.35023837021443
119,119,-76.86957266646374
120,120,-25.54273136355443
121,121,-68.47379259861766
122,122,-87.13773153396106
123,123,-63.932075159081386
124,124,-153.10113365601288
125,125,-86.78219638557113
126,126,-67.39341986649445
127,127,-11.837961384601442
128,128,-23.912797117002142
129,129,-143.7298936404665
130,130,-66.99974905945935
131,131,-64.92322481566983
132,132,-76.06893344263348
133,133,191.13302060325736
134,134,-57.760515951999295
135,135,152.8875313056946
136,136,-87.0624843591835
137,137,-108.25031122376875
138,138,180.6795884922583
139,139,-60.63975129300925
140,140,-87.11122423161187
141,141,154.9437615374968
142,142,-121.92144026044728
143,143,-19.2413401261045
144,144,-52.75998520115823
145,145,208.0941356165936
146,146,-13.912395739817148
147,147,-71.03436540988828
148,148,-177.47236856143394
149,149,-17.253382914988425
150,150,-300.53540382126835
151,151,-67.65421584168388
152,152,1.737487355794655
153,153,215.64626221350738
154,154,211.02531060663262
155,155,176.6397249901908
156,156,157.71832319110825
157,157,-3.192704780704247
158,158,-40.93147408496052
159,159,-64.17976747967019
160,160,187.1741651740527
161,161,180.2390655781469
162,162,-68.73319280953856
163,163,-86.07940156156346
164,164,200.35534343772298
165,165,246.51539649163385
166,166,215.86862608772387
167,167,174.69108078442878
168,168,201.9225266925894
169,169,213.84108230975895
170,170,52.737706550866676
171,171,72.80927561780946
172,172,58.465802641510976
173,173,197.25678385736265
174,174,-42.562669776316255
175,175,-42.833614445365846
176,176,-83.22920073001934
177,177,229.98528317456186
178,178,201.54822060723083
179,179,-24.993652469340063
180,180,167.1430813164262
181,181,161.68442900903142
182,182,152.13162633448133
183,183,260.65525231775007
184,184,-17.637540051538778
185,185,-60.66957963167046
186,186,233.28401811197972
187,187,4.696327278845885
188,188,269.8789588481347
189,189,244.42701899494733
190,190,180.99851581922715
191,191,-158.55640574106658
192,192,180.2246000701964
193,193,-104.92680969355139
194,194,187.41659792842302
195,195,210.47800982938747
196,196,167.45338634592036
197,197,-128.89349430841793
198,198,-97.89842219915056
199,199,-177.92095423471443
200,200,-12.213557849843482
201,201,199.91827360814293
202,202,-21.102733971147032
203,203,169.29416055046525
204,204,-170.3463206237117
205,205,202.24578868425723
206,206,232.11892922764108
207,207,212.40939573683883
208,208,232.3958123017022
209,209,-147.18335723756064
210,210,206.22975125378923
211,211,214.23377814480156
212,212,195.08857478998317
213,213,-0.8002824810673275
214,214,201.66875717116457
215,215,-78.42380422128535
216,216,187.17222038702124
217,217,-29.18603528285061
218,218,167.65887854399205
219,219,-62.20615547366641
220,220,253.5771156380274
221,221,245.07749224560982
222,222,273.36200773956614
223,223,-8.425681040796647
224,224,9.508351813521514
225,225,225.73544048388666
226,226,215.18188459175292
227,227,254.69971921537402
228,228,232.8433190812306
229,229,40.70047147586723
230,230,182.40213090551762
231,231,187.97256446347458
232,232,236.60104221926287
233,233,-118.40525327965426
234,234,193.83261397359547
235,235,-269.42651686563136
236,236,-268.5785920707268
237,237,-63.31729820907269
238,238,232.62230686673863
239,239,296.00664097416126
240,240,182.1313846775454
241,241,248.6856616437131
242,242,172.29499973589543
243,243,239.6300413681456
244,244,198.43976133284917
245,245,203.34437258115156
246,246,244.89229682021121
247,247,233.82130222762865
248,248,230.6413741683873
249,249,246.70556561101432
250,250,258.51836295539863
251,251,-34.573772023085624
252,252,281.0422348805662
253,253,207.8233286733015
254,254,219.01470355058382
255,255,-597.4862185673089
256,256,232.7886071016864
257,257,242.81100603330563
258,258,248.55628024368545
259,259,265.6272639868904
260,260,218.07333768999112
261,261,227.66710573832768
262,262,197.3418884969532
263,263,-527.0659830472327
264,264,191.2753926880737
265,265,213.33881715415794
266,266,284.9545389448499
267,267,258.65671109434356
268,268,288.5316913974333
269,269,227.38992610530667
270,270,257.49613096393847
271,271,252.1443608279129
272,272,253.64145002696458
273,273,195.30637582178144
274,274,252.62214152961226
275,275,183.36585640394782
276,276,278.9184255381599
277,277,294.27826186728157
278,278,246.460799841945
279,279,231.6618083881474
280,280,195.49374558034486
