,Game,Average
983,983,160.1096984906881
984,984,156.97780760907182
985,985,157.93719319714862
986,986,157.94844326661504
987,987,157.46803758964907
988,988,157.60054592832066
989,989,160.78260536801815
990,990,164.90983260169568
991,991,164.83645438739296
992,992,165.14224039520036
993,993,165.12558392820927
994,994,169.9157856533995
995,995,169.6981245840505
996,996,174.06991251726902
997,997,177.29118698827006
998,998,177.32478794663376
999,999,180.8998379905834
